date,source,copies
2022-06-5,PointLoma,0
2022-06-6,PointLoma,0
2022-06-7,PointLoma,0
2022-06-8,PointLoma,0
2022-06-12,PointLoma,0
2022-06-13,PointLoma,0
2022-06-14,PointLoma,0
2022-06-15,PointLoma,0
2022-06-19,PointLoma,0
2022-06-20,PointLoma,0
2022-06-21,PointLoma,0
2022-06-22,PointLoma,0
2022-06-26,PointLoma,0
2022-06-27,PointLoma,0
2022-06-28,PointLoma,0
2022-06-29,PointLoma,0
2022-07-5,PointLoma,0
2022-07-6,PointLoma,0
2022-07-10,PointLoma,1.14E-05
2022-07-11,PointLoma,0
2022-07-12,PointLoma,0
2022-07-13,PointLoma,0
2022-07-17,PointLoma,0.000109218
2022-07-18,PointLoma,8.89E-05
2022-07-20,PointLoma,6.91E-05
2022-07-24,PointLoma,0.000117761
2022-07-25,PointLoma,0.000156022
2022-07-26,PointLoma,0.000247674
2022-07-27,PointLoma,0.000179604
2022-07-31,PointLoma,0.000152128
2022-08-1,PointLoma,0.000203244
2022-08-2,PointLoma,0.000233969
2022-08-3,PointLoma,0.000234054